"ID","Categories","SubCategories","Title","MarketValuePrice","MSRPPrice","InternetPrice","SKUStock","Vin","ImageURL","ProductPageURL","Year","Make","Model","Trim","BodyType","DriveTrain","EngineSize","Transmission","InteriorColor","ExteriorColor","MPG","Mileage"
"5NMS33AD3LH185149-a38293d0-6f73-4909-8e55-0da3f8c74ea3","new","Santa Fe","2020 Hyundai Santa Fe SEL 2.4 SUV",31545,30295,30295,"H200184","5NMS33AD3LH185149","https://images.dealer.com/autodata/us/large_stockphoto-color/2020/USD00HYS011C0/S3B.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Santa+Fe-spartanburg+sc-e3d729e70a0e0a6b674772b6379f35bb.htm",2020,"Hyundai","Santa Fe","SEL 2.4",,,,,"Beige","Twilight Black",,
"5NMS33AD3LH175639-22da6572-a8a6-4ba9-aec7-d3f14f51d280","new","Santa Fe","2020 Hyundai Santa Fe SEL 2.4 SUV",31525,30275,30275,"H200185","5NMS33AD3LH175639","https://images.dealer.com/autodata/us/large_stockphoto/2020/USD00HYS011C0.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Santa+Fe-spartanburg+sc-e3d72a830a0e0a6b674772b6f44d85c4.htm",2020,"Hyundai","Santa Fe","SEL 2.4",,,,,"Gray","Other",,
"5NMS33AD6LH183055-4c917d78-3daa-4b58-9e42-e89ccae44763","new","Santa Fe","2020 Hyundai Santa Fe SEL 2.4 Wagon",31130,29880,29880,"H200173","5NMS33AD6LH183055","https://images.dealer.com/autodata/us/large_stockphoto-color/2020/USD00HYS011C0/Y8S.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Santa+Fe-spartanburg+sc-baa69b6e0a0e0ae76dee3a61e3a0c3cc.htm",2020,"Hyundai","Santa Fe","SEL 2.4",,,,,"Gray","Symphony Silver",,
"KM8K53A52LU451252-27927acb-f9a6-4204-91e9-b950bcdade83","new","Kona","2020 Hyundai Kona Ultimate SUV",29335,28085,28085,"H200175","KM8K53A52LU451252","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Kona/SUV/trim_Ultimate_180547/color/Sonic%20Silver-SS7-103%2C104%2C104-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Kona-spartanburg+sc-bfd001c80a0e0ae71350243c462d6602.htm",2020,"Hyundai","Kona","Ultimate",,,,,"Black","Sonic Silver",,
"5NMS33AD2LH188026-ea7f24bb-14f5-4adf-90e5-03b30eb34e46","new","Santa Fe","2020 Hyundai Santa Fe SEL 2.4 SUV",29175,27925,27925,"H200194","5NMS33AD2LH188026","https://images.dealer.com/autodata/us/large_stockphoto/2020/USD00HYS011C0.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Santa+Fe-spartanburg+sc-fda7413a0a0e0a1729282d22823f859b.htm",2020,"Hyundai","Santa Fe","SEL 2.4",,,,,"Black","Other",,
"KM8J33AL5LU130905-239b9bfd-bb1b-43b3-a2fd-9ca55842de69","new","Tucson","2020 Hyundai Tucson Sport SUV",29570,27070,27070,"H200189","KM8J33AL5LU130905","https://images.dealer.com/autodata/us/large_stockphoto-color/2020/USD00HYS021G0/PKW.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-f87230930a0e0a1729282d2216a42fd6.htm",2020,"Hyundai","Tucson","Sport",,,,,"Gray","Winter White",,
"5NMS23AD6LH187545-a43db0ff-767d-4b78-a4a3-aa05b55c541a","new","Santa Fe","2020 Hyundai Santa Fe SE 2.4 SUV",27425,26425,26425,"H200187","5NMS23AD6LH187545","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Santa%20Fe/SUV/trim_SE_24_b13c47/color/Scarlet%20Red-PR3-112%2C0%2C13-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Santa+Fe-spartanburg+sc-e3d72b490a0e0a6b674772b64788c579.htm",2020,"Hyundai","Santa Fe","SE",,,,,"Beige","Calypso Red",,
"KMHH55LC2LU119295-10e1c164-808c-446d-9685-5cea8f5cc132","new",,"2020 Hyundai Elantra GT N Line Hatchback",25830,25830,25830,"H200162","KMHH55LC2LU119295","https://images.dealer.com/autodata/us/large_stockphoto-color/2020/USD00HYC171C0/M6T.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Elantra+GT-spartanburg+sc-96b8234e0a0e0ae7609102166ab23a44.htm",,,,,,,,,"Black","Fluid Metal",,
"5NPD84LF0LH555362-f268bcf8-0d5d-4a9f-9fd2-4dd5c2f4719d","new","Elantra","2020 Hyundai Elantra Limited Sedan",27525,25525,25525,"H200195","5NPD84LF0LH555362","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Elantra/Sedan/trim_Limited_999568/color/Scarlet%20Red%20Pearl-PR2-112%2C0%2C13-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Elantra-spartanburg+sc-fda742200a0e0a1729282d22a9fc90bd.htm",2020,"Hyundai","Elantra","SEL",,,,,"Gray","Calypso Red",,
"KM8J33AL8LU137220-08a2c27d-db2f-49c2-ade7-a29971c45dac","new","Tucson","2020 Hyundai Tucson SEL SUV",27315,24815,24815,"H200204","KM8J33AL8LU137220","https://images.dealer.com/autodata/us/large_stockphoto-color/2020/USD00HYS021E0/PKW.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-02c304a90a0e0adf16c802d4711c114c.htm",2020,"Hyundai","Tucson","Sport",,,,,,,,
"KM8J33A40LU089754-cdd82729-4dda-4093-a91d-4b3a1da4ffe0","new","Tucson","2020 Hyundai Tucson Value FWD SUV",26455,23955,23955,"H200088","KM8J33A40LU089754","https://pictures.dealer.com/b/bensonhyundai/0974/a4d5bdd6f84d678efd56d2cde2a5bdc0x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-b3fdc4820a0e0ae7628309f36fc86b25.htm",2020,"Hyundai","Tucson","Value",,,,,"Black","Gemstone Red",,
"KM8J33A47LU089864-a40772c4-06fe-4daa-8b2c-51fcd581a77c","new","Tucson","2020 Hyundai Tucson Value FWD SUV",26420,23920,23920,"H200094","KM8J33A47LU089864","https://pictures.dealer.com/b/bensonhyundai/1144/3b5872bbc460b5edb93cf8662eff2272x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-be4c92170a0e0a1711f6822b9f3d30a3.htm",2020,"Hyundai","Tucson","Value",,,,,"Beige","Winter White",,
"KM8J33A49LU090238-a8e7edbc-2556-4190-b78d-1a2161caabe9","new","Tucson","2020 Hyundai Tucson Value FWD SUV",26415,23915,23915,"H200095","KM8J33A49LU090238","https://pictures.dealer.com/b/bensonhyundai/0507/0011905c6987362601c90c20e7dcf40bx.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-be4c91ea0a0e0a1711f6822be63233a3.htm",2020,"Hyundai","Tucson","Value",,,,,"Beige","Winter White",,
"KM8J33A48LU089971-6dd23d35-5867-4d5a-9b52-f0db9a37e685","new","Tucson","2020 Hyundai Tucson Value FWD SUV",26415,23915,23915,"H200096","KM8J33A48LU089971","https://pictures.dealer.com/b/bensonhyundai/0423/8f87e7ee31394a58708a331fbf566efbx.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-be4c91700a0e0a1711f6822b01d4f1c2.htm",2020,"Hyundai","Tucson","Value",,,,,"Beige","Gemstone Red",,
"KM8J33A4XLU109668-5984eddb-7f75-46ce-a7ee-8db017b831a8","new","Tucson","2020 Hyundai Tucson Value FWD SUV",26350,23850,23850,"H200132","KM8J33A4XLU109668","https://pictures.dealer.com/b/bensonhyundai/1591/2d1d3287d2940fffc0238d90b47fd538x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-6841c0970a0e0ae83a84e5ffaf01c799.htm",2020,"Hyundai","Tucson","Value",,,,,"Gray","Winter White",,
"KM8J33A48LU107031-5233cb7b-90fe-42fa-9202-9ccac92b2447","new","Tucson","2020 Hyundai Tucson Value FWD SUV",26350,23850,23850,"H200114","KM8J33A48LU107031","https://pictures.dealer.com/b/bensonhyundai/1499/f4cd6d45a497232a34c6a018792e282ax.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-4e826f3b0a0e0a17657a17b3165776f7.htm",2020,"Hyundai","Tucson","Value",,,,,"Gray","Cream White Pearl",,
"KM8J33A46LU111725-f2fcdbd4-24c7-4fc0-87a5-afc1f34ae779","new","Tucson","2020 Hyundai Tucson Value FWD SUV",26350,23850,23850,"H200136","KM8J33A46LU111725","https://pictures.dealer.com/b/bensonhyundai/1579/56d0dc61b98597b93d643fe604419b8ex.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-728dc56f0a0e0a6b739734d30156ae39.htm",2020,"Hyundai","Tucson","Value",,,,,"Gray","Stellar Silver",,
"KM8J33A47LU111538-abeef147-1ffc-4075-b358-9950b4c9fee1","new","Tucson","2020 Hyundai Tucson Value FWD SUV",26350,23850,23850,"H200139","KM8J33A47LU111538","https://pictures.dealer.com/b/bensonhyundai/0182/cbda0bd5ed779479146fa613b2ea9f20x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-728dc6070a0e0a6b739734d310a6b091.htm",2020,"Hyundai","Tucson","Value",,,,,"Gray","Black Noir Pearl",,
"KM8J33A48LU115727-a48341bc-0eb8-4d74-bae9-db8db851fa80","new","Tucson","2020 Hyundai Tucson Value FWD SUV",26335,23835,23835,"H200168","KM8J33A48LU115727","https://pictures.dealer.com/b/bensonhyundai/1218/d5165a4b6de9c52aee4d5438052939f2x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-baa699bf0a0e0ae76dee3a61c2b25a73.htm",2020,"Hyundai","Tucson","Value",,,,,"Beige","Winter White",,
"KM8J33A43LU112864-1befaaa9-c8e0-46ba-9ecc-657391de63f4","new","Tucson","2020 Hyundai Tucson Value FWD SUV",26320,23820,23820,"H200138","KM8J33A43LU112864","https://pictures.dealer.com/b/bensonhyundai/0459/b31d7a9eb858172dfcd7d0f259c444a1x.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-728dc5cc0a0e0a6b739734d368fa6dae.htm",2020,"Hyundai","Tucson","Value",,,,,"Gray","Magnetic Force Metallic",,
"KM8J33AL8LU137234-ea78171f-1454-4ef0-a783-f55a6ea47865","new","Tucson","2020 Hyundai Tucson SEL SUV",27300,24800,24800,"H200198","KM8J33AL8LU137234","https://images.dealer.com/autodata/us/large_stockphoto/2020/USD00HYS021E0.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Tucson-spartanburg+sc-fda742a20a0e0a1729282d220359c1af.htm",2020,"Hyundai","Tucson","Sport",,,,,"Black","Other",,
"KM8K62AA0LU446040-6cbc372f-cacf-4d91-8abe-3a65768c28fe","new","Kona","2020 Hyundai Kona SEL SUV",25265,24265,24265,"H200167","KM8K62AA0LU446040","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Kona/SUV/trim_SEL_Plus_f14ef5/color/Chalk%20White-P6W-234%2C234%2C234-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Kona-spartanburg+sc-baa699950a0e0ae76dee3a610d03d610.htm",2020,"Hyundai","Kona","SEL",,,,,"Gray Black","Chalk White",,
"KM8K62AA8LU451583-16bea7cf-8c3c-44da-9d48-7284baa07185","new","Kona","2020 Hyundai Kona SEL SUV",25265,24265,24265,"H200196","KM8K62AA8LU451583","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Kona/SUV/trim_SEL_Plus_f14ef5/color/Ultra%20Black-MZH-16%2C16%2C16-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Kona-spartanburg+sc-fda7425a0a0e0a1729282d22a1be1556.htm",2020,"Hyundai","Kona","SEL",,,,,"Black","Ultra Black",,
"KM8K62AA4LU457624-e57b47b0-05f8-4555-97f1-2a38dcb18c74","new","Kona","2020 Hyundai Kona SEL SUV",25260,24260,24260,"H200197","KM8K62AA4LU457624","https://images.dealer.com/ddc/vehicles/2020/Hyundai/Kona/SUV/trim_SEL_Plus_f14ef5/color/Pulse%20Red-Y2R-118%2C17%2C31-640-en_US.jpg","https://www.bensonhyundai.com/new/Hyundai/2020-Hyundai-Kona-spartanburg+sc-fda7427e0a0e0a1729282d22c5a15bc2.htm",2020,"Hyundai","Kona","SEL",,,,,"Gray Black","Pulse Red",,
